"Bronze Full Helm" 1 0 100 200 helmet_full_bronze_icon.png "Equip" ""
"Bronze Med Helm" 2 0 50 100 helmet_medium_bronze_icon.png "Equip" ""
"Bronze Chainbody" 3 0 150 250 chainbody_bronze_icon.png "Equip" ""
"Bronze Platebody" 4 0 300 400 platebody_bronze_icon.png "Equip" ""
"Bronze Platelegs" 5 0 200 300 platelegs_bronze_icon.png "Equip" ""
"Bronze Boots" 6 0 100 200 boots_bronze_icon.png "Equip" ""
"Bronze Long Sword" 7 0 150 250 long_sword_bronze_icon.png "Equip" ""
"Bronze 2h Sword" 8 0 250 350 two_hand_sword_bronze_icon.png "Equip" ""
"Round Shield" 9 0 100 200 round_shield_icon.png "Equip" ""
"Bones" 10 0 1 1 bones_icon.png "Bury" ""
